"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2026-05-01 ~ 2026-05-31"
"실거래구분 : 연립다세대(매매)"
"주소구분 : 지번주소"
"시도 : 전체"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","건물명","전용면적(㎡)","대지권면적(㎡)","계약년월","계약일","거래금액(만원)","층","매수자","매도자","건축년도","도로명","해제사유발생일","거래유형","중개사소재지","등기일자"
"29","경기도 부천시 소사구 송내동","600-23","0600","0023","명품위너스빌","61.8700","36.1400","202605","31","26,000","2","개인","개인","2015","심곡로46번길 34-5","-","중개거래","경기 부천시 원미구","-"
"30","경기도 수원시 권선구 구운동","314-4","0314","0004","(314-4)","42.9800","35.7500","202605","31","29,000","5","개인","개인","2023","금호로185번길 9","-","직거래","-","26.06.12"
"31","인천광역시 미추홀구 주안동","1350-20","1350","0020","신동아아트빌라(3동)","41.9500","11.3000","202605","31","5,500","2","개인","개인","1996","신기길57번길 10-8","-","중개거래","인천 미추홀구","26.06.15"
"32","경기도 동두천시 생연동","363-2","0363","0002","대원빌라(A~D동)","49.9800","54.1300","202605","31","5,500","1","개인","개인","1986","평화로 2334-9","-","중개거래","경기 동두천시","26.06.16"
"33","서울특별시 성북구 장위동","230-152","0230","0152","세종아트빌","45.0000","21.4500","202605","31","30,000","1","개인","개인","2002","장위로11길 25","-","중개거래","서울 성북구","26.06.15"
"34","인천광역시 남동구 구월동","1278-13","1278","0013","대동빌라(1,2동)","53.1100","24.9450","202605","31","7,800","4","개인","개인","1994","호구포로764번길 43","-","중개거래","인천 남동구","26.06.15"
"35","경기도 화성시 효행구 봉담읍 동화리","421-3","0421","0003","가나맨션(B동)","80.7400","47.0625","202605","31","14,500","3","개인","개인","1995","동화새터길 5-2","-","중개거래","경기 화성시 효행구","26.06.12"
"36","서울특별시 강서구 화곡동","1085-9","1085","0009","와이앤비","24.8400","16.2600","202605","31","21,700","3","개인","개인","2015","화곡로24길 40-27","-","중개거래","서울 강서구","-"
"37","경기도 파주시 교하동","317-2","0317","0002","마운틴힐빌리지B(317-2)","50.3050","36.4750","202605","31","7,000","3","개인","개인","2002","동편길 104-14","-","직거래","-","26.06.11"
"38","서울특별시 영등포구 신길동","1515-11","1515","0011","세원빌라라동","37.0800","29.6600","202605","31","40,000","-1","개인","개인","1988","신풍로 105-4","-","중개거래","서울 영등포구","-"
"39","서울특별시 중랑구 중화동","324-15","0324","0015","디아이빌","52.3400","30.6600","202605","31","50,000","3","개인","법인","2022","중랑천로 101","-","중개거래","서울 동대문구","26.06.12"
"40","서울특별시 마포구 성산동","258-5","0258","0005","성산이튼캐슬","29.8700","20.7200","202605","31","61,500","4","개인","개인","2023","성미산로3나길 33","-","중개거래","서울 양천구, 인천 계양구","-"
"41","경기도 광명시 광명동","744-7","0744","0007","청솔빌라(744-7)","61.1400","34.6850","202605","31","30,000","-1","개인","개인","1994","덕단이로9번길 16-7","-","중개거래","경기 광명시","-"
"42","서울특별시 관악구 신림동","659-2","0659","0002","석영","48.0200","29.0200","202605","31","44,000","6","개인","법인","2022","난곡로10길 41","-","직거래","-","-"
"43","경기도 광주시 목현동","652-11","0652","0011","모개미마을3차(304동)","55.2650","61.8750","202605","31","21,800","1","개인","개인","2013","밭말길 70-38","-","중개거래","경기 광주시","-"
